Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,doors_int,seats_int,LitresPer100km,used_0_new_1,transmission_auto,age,color_primary,std_color,color_black,color_white,color_gray,color_silver,color_red,fuel_bucket,fuel_cat_Gasoline,fuel_cat_Diesel,fuel_cat_Electric,fuel_cat_Hybrid,Brand_Bucket,brand_cat_Economy,brand_cat_Luxury,brand_cat_Premium,brand_cat_Ultra Luxury,cylinders,engine_l,make_model,price_bin,make_model_segment,CarBodyType_Cleaned,log_price,age_squared,Body_type_Other,Body_type_SUV,Body_type_Sedan,Body_type_Wagon,Make_Model_cat_economy,Make_Model_cat_premium
Renault,2022.0,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6 L / 100 km,1035.0,Grey / Black,"Castle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,34990.0,4,5,6.0,0,1,1.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,1.3,Renault Arkana,20–35k,premium,SUV,10.462846164547514,1.0,0,1,0,0,0,1
Land,2017.0,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67662.0,White / Black,"Blacktown, NSW",4 cyl,SUV, 2 Doors, 4 Seats,62280.0,2,4,5.1,0,1,6.0,White,white,0,1,0,0,0,Others,0,0,0,0,Luxury,0,1,0,0,4,2.0,Land Rover,35–65k,premium,SUV,11.039411682337978,36.0,0,1,0,0,0,1
Honda,2014.0,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5 L / 100 km,38229.0,Blue / -,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17900.0,5,5,4.5,0,1,9.0,Blue,others,0,0,0,0,0,Hybrid,0,0,0,1,Economy,1,0,0,0,4,1.3,Honda Jazz,0–20k,budget,Hatchback,9.792611856190192,81.0,0,0,0,0,0,0
Toyota,2018.0,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8 L / 100 km,16324.0,White / Grey,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,41999.0,4,2,9.8,0,1,5.0,White,white,0,1,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.7,Toyota HiAce,35–65k,economy,Other,10.645424897265505,25.0,1,0,0,0,1,0
Volkswagen,2012.0,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,55676.0,White / Black,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14999.0,5,5,6.2,0,1,11.0,White,white,0,1,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,1.4,Volkswagen Golf,0–20k,economy,Hatchback,9.615805480084347,121.0,0,0,0,0,1,0
BMW,2014.0,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,82624.0,Black / Black,"Haberfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24985.0,4,5,5.6,0,1,9.0,Black,black,1,0,0,0,0,Others,0,0,0,0,Premium,0,0,1,0,4,2.0,BMW X3,20–35k,premium,SUV,10.126070946991774,81.0,0,1,0,0,0,1
BMW,2011.0,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4 L / 100 km,95204.0,Silver / -,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13999.0,5,5,5.4,0,1,12.0,Silver,silver,0,0,0,1,0,Others,0,0,0,0,Premium,0,0,1,0,4,2.0,BMW 118D,0–20k,budget,Hatchback,9.546812608597396,144.0,0,0,0,0,0,0
Ford,2014.0,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,76289.0,White / Black,"Cabramatta, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,12400.0,5,5,5.4,0,1,9.0,White,white,0,1,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,3,1.0,Ford Fiesta,0–20k,budget,Hatchback,9.425532393502772,81.0,0,0,0,0,0,0
Ford,2013.0,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,98079.0,Blue / Black,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11999.0,5,5,6.1,0,1,10.0,Blue,others,0,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,1.6,Ford Fiesta,0–20k,budget,Hatchback,9.392661928770137,100.0,0,0,0,0,0,0
Honda,2018.0,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,43274.0,Silver / Black,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19900.0,5,5,5.8,0,1,5.0,Silver,silver,0,0,0,1,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,1.5,Honda Jazz,0–20k,budget,Hatchback,9.898525260706313,25.0,0,0,0,0,0,0
Subaru,2012.0,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4 L / 100 km,105672.0,Black / -,"Glebe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,17990.0,4,5,8.4,0,1,11.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.5,Subaru Outback,0–20k,economy,SUV,9.79762691183662,121.0,0,1,0,0,1,0
Mitsubishi,2018.0,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7 L / 100 km,36836.0,Black / -,"Camden, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,14995.0,5,5,4.7,0,1,5.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,3,1.2,Mitsubishi Mirage,0–20k,budget,Hatchback,9.615538777855802,25.0,0,0,0,0,0,0
Hyundai,2011.0,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,189711.0,Silver / Black,"Croydon, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,12990.0,4,5,7.9,0,1,12.0,Silver,silver,0,0,0,1,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,2.4,Hyundai I45,0–20k,budget,Sedan,9.472012088995733,144.0,0,0,1,0,0,0
Ford,2015.0,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,173786.0,Blue / Black,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,16999.0,4,7,8.2,0,1,8.0,Blue,others,0,0,0,0,0,Others,0,0,0,0,Premium,0,0,1,0,6,2.7,Ford Territory,0–20k,budget,SUV,9.740968623038354,64.0,0,1,0,0,0,0
Nissan,2018.0,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,114301.0,Blue / -,"Pendle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,21950.0,4,5,6.9,0,1,5.0,Blue,others,0,0,0,0,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,2.0,Nissan Qashqai,20–35k,economy,SUV,9.99656797555214,25.0,0,1,0,0,1,0
Volkswagen,2013.0,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,69197.0,Black / Black,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,24880.0,5,5,6.6,0,0,10.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Volkswagen Golf,20–35k,economy,Hatchback,10.121859738971446,100.0,0,0,0,0,1,0
